Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Switzerland and Liechtenstein,44.96211682,47.2838773,47.22366885,44.89433611,43.95313087,44.75148297,45.29708569,44.01657224,45.47911151,45.74352982,44.92955826,46.36374103,44.73039994,46.03230819,46.56961675,47.18654494,46.7492769,44.79962718,46.17692116,44.79205274,46.48128203,42.40498214,43.7092839,44.73155071,41.24234776,40.36007055,40.90453334,39.93178515,38.6984685,38.57612605
Chile,33.01675752,31.47062142,32.66234751,34.55612924,37.71866492,41.30315134,47.46420259,54.02560582,54.48870399,57.07168766,53.42734629,51.35713421,51.82892501,53.78477445,58.08896383,58.88131451,60.01790936,67.46510293,71.01224341,67.94615916,72.06510307,78.660831,80.8499334,84.98790575,78.46953967,84.0656656,88.57000928,89.33997265,89.06049207,94.00974854
China,2425.643522,2561.805992,2695.412338,2919.981245,3100.784503,3415.472313,3387.352842,3465.449108,3547.653173,3478.416571,3703.340219,3878.315075,4183.177709,4852.911765,5599.967175,6338.438492,7040.38819,7673.680477,7889.191024,8489.958526,9294.361006,10155.48117,10484.57673,10780.58644,10898.41414,10771.81741,10794.28624,11036.73465,11499.29215,11771.07254
Côte d’Ivoire,3.030024706,3.124440194,3.114276338,3.302118994,3.449955935,3.76978049,4.70184306,5.712644177,5.540794485,7.381224905,7.055934086,7.082683315,7.493387542,5.938965446,6.130367516,6.550711777,6.428379683,6.438513146,7.174876099,6.655554445,7.53932314,7.38762589,9.390393262,10.0739821,10.83675116,11.60204119,11.78051465,12.72934391,12.58899841,13.430183
Cameroon,4.811000482,4.587448969,4.412572095,4.816223238,5.205113875,5.211920651,5.344632156,5.382436103,5.601069189,5.394748899,5.788414142,5.760033177,5.679974653,5.793939901,5.695884145,5.541064552,5.591979012,6.588057555,6.944865412,7.544066152,7.690369692,7.324542724,7.437399323,8.234229105,8.945853671,9.25794285,9.856686692,10.02017923,10.50948783,10.44557063
Democratic Republic of the Congo,3.442014284,1.969947684,1.705711335,1.650863328,2.566251406,2.400596546,2.64650737,2.654623809,2.645599011,2.44923636,1.969358442,1.919291801,2.01244822,2.419420141,2.317951004,2.589328083,2.660911069,2.929437795,3.005528741,2.920584944,3.051822973,3.471910917,3.115986885,4.291129703,5.480099334,3.569806658,2.781544982,3.209877096,3.130835621,3.367545034
Congo,2.403300886,2.451974056,2.392982078,2.363806898,2.165217556,2.752243388,3.31085976,3.411171492,4.05472506,4.198973774,4.542087903,4.427610739,2.886535971,3.592089574,3.646416138,4.359218601,4.849286751,4.2919994,4.460891776,4.947871675,5.326287574,4.884383461,4.509967126,5.484225102,5.324353357,5.777671397,5.647360473,5.561115273,6.511091746,7.301687315
Cook Islands,0.04014714,0.028115569,0.040932727,0.040027183,0.042115784,0.040357896,0.041364636,0.04388765,0.045476279,0.044131193,0.065501805,0.064210653,0.034969301,0.03187426,0.051738698,0.083231799,0.085902302,0.068833303,0.073856182,0.070098556,0.083534767,0.096167281,0.100331318,0.099973491,0.104113294,0.094305952,0.096110924,0.100985439,0.10068293,0.10460329
Colombia,52.41134071,54.07257335,56.11941986,59.37054644,58.94063701,61.68060825,60.89124243,66.08625498,67.18598803,58.64584177,61.52913676,61.19415493,58.81601281,58.3335646,58.45994602,60.11963139,58.97491288,60.6342086,61.05108449,63.55751054,65.29813728,70.39233504,70.81151962,78.08111624,80.12928405,81.17299822,84.110158,76.66404115,80.34809029,83.4386396
Comoros,0.04755969,0.054856204,0.048329597,0.047226108,0.047244962,0.048574354,0.049999228,0.051326182,0.064846375,0.066646956,0.102834844,0.107223122,0.108300726,0.139779695,0.153151217,0.148630652,0.175140007,0.115707806,0.115248017,0.142008641,0.168321063,0.140288078,0.14370259,0.171349144,0.151033827,0.164997514,0.189552909,0.251914,0.272166692,0.297099293
Cabo Verde,0.06485515,0.07768734,0.079863202,0.077933361,0.091550679,0.091750222,0.108876156,0.111656287,0.113836208,0.116928928,0.318335808,0.357360521,0.388086277,0.387795426,0.424036514,0.662502687,0.713076471,0.804281404,0.779251733,0.754035525,0.806379768,0.863288192,0.734825488,0.714661409,0.751869435,0.757030716,0.775282996,0.852350176,0.84932269,0.860547562
Costa Rica,2.929726662,3.177024201,4.266494701,4.289512631,4.991363883,4.994851503,4.773720841,4.669812716,5.203297683,5.178238491,5.144046174,5.562090064,5.663672318,6.104590572,6.199076053,6.347000324,6.972017413,7.695541184,7.623125424,7.349359953,7.278997714,7.635949599,7.621438055,7.915572849,8.02682958,7.744022809,8.267184483,8.452770593,8.601214682,8.470658611
Cuba,38.54156163,30.02764178,23.84107632,21.812596,22.50797321,23.88784835,25.86631805,28.3028332,27.129034,28.5894311,28.95532049,27.86326707,26.60552689,25.83701358,25.35788333,26.18789334,26.71511704,27.62136647,26.74650323,26.95410555,28.20932558,27.76401375,28.90671846,29.07224025,26.91118717,29.43872829,27.3627366,26.50143996,26.8989017,26.02547978
Cayman Islands,0.300944787,0.312458499,0.334932375,0.29719165,0.337243247,0.345454225,0.348123501,0.32944114,0.336791228,0.356594566,0.480072679,0.483574257,0.512020815,0.667068671,0.637316445,0.633512612,0.638877956,0.722785236,0.731251661,0.74538254,0.781608666,0.937011991,0.928458841,0.918549815,0.945936514,0.958217582,0.947930551,0.790713404,0.780387321,0.936662183
Cyprus,4.469674293,5.030274372,5.300043332,5.479128498,5.669995067,5.557800591,5.852614205,5.934316327,6.39884479,6.639465714,6.965441646,6.834857964,7.015232543,7.768676377,7.675970457,7.852016489,7.903093491,8.263356364,8.462293553,8.222924731,7.934775175,7.615882355,7.074149572,6.475149175,6.857755248,6.827251246,7.257921842,7.399905419,7.249109731,7.256855423
Czechia,162.9440323,147.0921627,140.9558415,138.6654535,132.9987575,133.5219663,134.7364807,131.7964524,126.0474208,118.9215757,130.4045388,130.6154604,125.4564089,129.6945087,130.920807,127.0351319,128.2415169,130.8251879,125.4705176,117.3741131,118.8073274,115.9933729,112.5824719,107.6541007,104.4835022,105.8788198,108.023581,108.4236347,107.1905268,102.2112683
Germany,1019.077771,997.1707987,943.7635429,935.098853,923.8129899,918.9521987,946.022708,913.9897447,907.6196108,874.0042407,878.4087899,893.7617901,877.4959959,879.7489334,863.6371333,843.5224974,857.9409904,827.3752594,832.298889,771.2906994,818.1541805,791.745091,804.0554254,822.0196006,782.359239,788.6143837,792.6826588,777.8788291,753.5536097,701.6162927
Djibouti,1.172956894,1.408233654,1.247695454,1.227548712,1.260676178,1.28547065,1.323175409,1.369368304,1.394924492,1.431978383,0.832180311,0.829447549,0.83985556,0.881593196,0.860482678,0.821856085,0.780084435,0.804762701,0.865845947,0.774662578,0.871911683,0.620405198,0.781077117,0.855427118,0.85887468,0.782700551,0.699084938,0.651768655,0.681970435,0.643553599
Dominica,0.056987519,0.060101325,0.063303793,0.07697685,0.100064249,0.115334344,0.12183963,0.115598263,0.098672648,0.13202246,0.163482446,0.170613472,0.187069157,0.325331961,0.334491721,0.328950104,0.344087972,0.37310488,0.356397967,0.366474326,0.376346096,0.413985453,0.418332016,0.384936317,0.419029352,0.412768274,0.423706124,0.19580846,0.217703344,0.210609466
Denmark,53.53363669,64.16483363,58.42629745,60.62148561,64.78735292,61.7386293,75.13146023,65.37383028,61.09601684,58.13786026,54.00667337,55.52018833,55.09471933,60.44830642,54.81496761,51.39245377,59.30976251,54.47828543,51.28159664,49.03321469,49.15080593,44.08247551,39.21980053,41.02199647,37.29553419,35.18691535,36.28517718,34.11041831,34.16040676,30.6856345
Dominican Republic,8.044436383,8.424503803,9.775420291,9.656742874,11.28331379,11.99499435,12.92600326,14.69109231,16.79357329,18.20614142,19.01504734,19.15962128,21.0224971,18.78749692,17.43049934,18.82846119,20.54448212,20.79300405,20.72037009,19.84539449,20.86874203,21.17098947,21.92087622,21.51374158,21.71506348,23.87807229,24.86101234,23.82255804,25.64291161,27.62018191
Algeria,68.00360923,72.11717917,80.01646032,80.27160551,77.73639035,80.32163469,79.2140921,77.66283244,77.81488838,81.04615245,83.73453419,82.13538705,86.64395009,93.08482419,92.74205217,98.60871731,103.4287238,106.0299059,110.8721979,114.2757203,116.6440271,122.9711414,137.5307234,141.7187806,152.1329885,161.4831094,159.4747328,162.8018751,173.7052988,177.9234367
Ecuador,17.58689117,17.61992823,18.555697,18.09642838,18.97018684,20.81756297,23.9848623,24.98199191,24.53038164,21.70658624,22.06105259,24.30657786,24.30788227,24.844617,26.21703225,28.28808186,30.25062569,30.84093975,31.92773054,34.76078261,37.46595161,37.80651918,37.98377778,40.40119407,42.54384784,42.30064016,41.04048813,39.75040143,41.29424994,40.66078279
Egypt,91.05288584,93.16296384,96.81525879,97.12715265,92.59185047,98.92067168,106.0701713,112.9653857,118.713562,128.171496,127.2090777,140.4978426,144.2678621,147.307658,159.657375,177.6198862,188.5390769,201.7322195,201.869052,210.1178856,212.4461056,220.2318995,234.3876432,230.1051509,234.5389154,240.8400677,247.5478541,268.5347498,280.76631,268.2849558
Eritrea,0.32469368,0.373644629,0.460509149,0.656600314,0.741230464,0.807620741,0.888777829,0.843473557,0.63966864,0.6794193,0.67018623,0.735101493,0.721764515,0.699588528,0.691271164,0.609422271,0.532480844,0.521431254,0.454239609,0.475387302,0.507711917,0.583880258,0.623015796,0.634399058,0.64448568,0.647474188,0.668612671,0.731663867,0.860824511,0.882671738
Western Sahara,0.14974785,0.1811122,0.160399356,0.149837903,0.151055052,0.175711496,0.179101679,0.187777984,0.190369822,0.197871142,0.255371677,0.258866918,0.258223176,0.264104805,0.263176248,0.259487617,0.259940497,0.2559866,0.257440905,0.255516828,0.252869251,0.23880542,0.239375425,0.237975877,0.233314888,0.23793799,0.239893436,0.21460285,0.22553796,0.232813543
Spain and Andorra,232.1166308,239.6731902,248.4478394,233.5086055,243.6826217,256.0379489,247.3980949,267.2542748,275.906895,297.9877441,314.3198389,314.7068452,332.112367,340.6074105,356.5159806,371.5371155,362.6707063,375.9739198,344.169489,304.3960291,291.3275238,293.2054674,287.0599751,260.3555782,257.6320904,273.7139466,264.6963104,280.8442626,274.3736117,256.8053837
Estonia,37.47921845,33.68303162,25.73266305,19.94397717,19.987106,18.54001677,19.45982576,19.10181709,18.08512381,16.87801372,16.96227926,17.53770773,16.70144711,18.87808557,19.30538617,19.65920857,18.51476929,22.30396766,20.92090012,17.92403837,22.08513511,21.4284735,20.37931125,22.97008401,21.80981105,19.88685204,20.15050756,21.12193821,21.64017517,15.0442219
Ethiopia,2.097000657,2.071184532,1.591831359,2.059020982,2.38137577,2.703450684,3.057600296,3.208935267,3.41025623,3.361909002,3.742571137,4.644006967,4.774319708,5.1385765,5.563724765,5.319451279,5.674581407,6.211736958,6.737329849,6.784041195,6.765157919,7.879357626,8.861970895,10.22081923,12.72101525,13.39395874,15.87207812,16.8616824,18.35166654,19.79172793
